quarter_date,strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason,ter_pct,ter_dec,nom,label
2023-05-01,STRAT1,LYEGTIE ID Equity,1,1.2125800448809883,top1,,0.0,2023-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2023-05-01,STRAT2,CARTMTE LX Equity,1,1.425746140178251,top1,,0.0,2023-02-01,0,same_ticker,1.557,0.015569999999999999,DNB-TMT LNG SHRT EQUTS-A AEU,DNB-TMT LNG SHRT EQUTS-A AEU
2023-05-01,STRAT2,PRATLSB LX Equity,2,0.9956234279801853,top2_diversified,0.2366703827634991,0.43012271219806564,2023-02-01,0,same_ticker,1.47,0.0147,BANOR SIC-MISTR LONG SHRT-I,BANOR SIC-MISTR LONG SHRT-I
2023-05-01,STRAT3,DISFCPE LX Equity,1,1.5795102907363758,top1,,0.0,2023-02-01,0,hold_buffer,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2023-06-01,STRAT1,LYEGTIE ID Equity,1,1.1889683644839177,top1,,0.0,2023-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2023-06-01,STRAT2,HFHSELA LX Equity,1,0.9920410705718622,top1,,0.0,2023-02-01,1,better_score,1.47,0.0147,HELIUM FUND-HELIUM SEL-A EUR,HELIUM FUND-HELIUM SEL-A EUR
2023-06-01,STRAT2,UGEEIBA ID Equity,2,0.944186363333734,top2_diversified,0.09292713810566626,0.047854707238128236,2023-02-01,1,better_score,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2023-06-01,STRAT3,DISFCPE LX Equity,1,1.3984262937006018,top1,,0.0,2023-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2023-06-01,STRAT3,4GLD GR Equity,2,1.2519984159010842,top2_diversified,-0.15510897566965787,0.1464278777995176,2023-02-01,0,same_ticker,0.36,0.0036,XETRA-GOLD,XETRA-GOLD
2023-07-03,STRAT1,LYEGTIE ID Equity,1,1.18987686550762,top1,,0.0,2023-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2023-07-03,STRAT2,CARTMTE LX Equity,1,1.0988401823460752,top1,,0.0,2023-02-01,1,better_score,1.557,0.015569999999999999,DNB-TMT LNG SHRT EQUTS-A AEU,DNB-TMT LNG SHRT EQUTS-A AEU
2023-07-03,STRAT2,UGEEIBA ID Equity,2,1.0377542719647666,top2_diversified,0.1666792426035383,0.06108591038130862,2023-02-01,0,same_ticker,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2023-07-03,STRAT3,DISFCPE LX Equity,1,1.6734826196172243,top1,,0.0,2023-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2023-07-03,STRAT3,GBSE GR Equity,2,1.0377677385036173,top2_diversified,-0.046983999628339025,0.6357148811136071,2023-02-01,1,better_score,0.12,0.0012,WT PHYSICAL GOLD-EUR DLY HDG,WT PHYSICAL GOLD-EUR DLY HDG
2023-08-01,STRAT1,LYEGTIE ID Equity,1,1.1754120340695522,top1,,0.0,2023-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2023-08-01,STRAT2,CARTMTE LX Equity,1,1.6912115011060282,top1,,0.0,2023-02-01,0,same_ticker,1.557,0.015569999999999999,DNB-TMT LNG SHRT EQUTS-A AEU,DNB-TMT LNG SHRT EQUTS-A AEU
2023-08-01,STRAT2,UGEEIBA ID Equity,2,1.3329624224258831,top2_diversified,0.08002015959210614,0.3582490786801451,2023-02-01,0,same_ticker,0.13,0.0013,UBS GLOBAL EQTY LNG SHT-EIBA,UBS GLOBAL EQTY LNG SHT-EIBA
2023-08-01,STRAT3,DISFCPE LX Equity,1,1.6790581896332812,top1,,0.0,2023-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2023-08-01,STRAT3,GBSE GR Equity,2,1.1421614282961612,top2_diversified,-0.0728303391861612,0.53689676133712,2023-02-01,0,same_ticker,0.12,0.0012,WT PHYSICAL GOLD-EUR DLY HDG,WT PHYSICAL GOLD-EUR DLY HDG
2023-09-01,STRAT1,LYEGTIE ID Equity,1,1.1435537185074014,top1,,0.0,2023-02-01,0,same_ticker,1.171,0.01171,AM MT EPSILON GLOBAL TR-IE,AM MT EPSILON GLOBAL TR-IE
2023-09-01,STRAT2,CARTMTE LX Equity,1,1.226074644776367,top1,,0.0,2023-02-01,0,same_ticker,1.557,0.015569999999999999,DNB-TMT LNG SHRT EQUTS-A AEU,DNB-TMT LNG SHRT EQUTS-A AEU
2023-09-01,STRAT2,TRESGFE ID Equity,2,1.2031873702425526,top2_diversified,0.18457227406635718,0.02288727453381445,2023-02-01,1,better_score,1.47,0.0147,TRIUM ESG EMISSIONS IMP-FEUR,TRIUM ESG EMISSIONS IMP-FEUR
