,AEABSIA ID Equity
2021-07-09,-0.010233623349298428
2021-07-13,-0.01113157618542656
2021-07-14,-0.008842267294525257
2021-07-15,-0.006567499852443863
2021-07-16,-0.00801158706315133
2021-07-20,-0.008731933413822343
2021-07-21,-0.008593063768295408
2021-07-22,-0.011167661669825302
2021-07-23,-0.01116715615374895
2021-07-27,-0.012956206519073862
2021-07-28,-0.012623938708138771
2021-07-29,-0.012716189019889669
2021-07-30,-0.012578894787347259
2021-08-03,-0.01210028510537188
2021-08-04,-0.00811117391075618
2021-08-05,-0.008347403727564465
2021-08-06,-0.008792924448488332
2021-08-10,-0.00879349796948739
2021-08-11,-0.008938129004503699
2021-08-12,-0.008572726128870166
2021-08-13,-0.008611848924984544
2021-08-17,-0.008630585520903398
2021-08-18,-0.008667777324934501
2021-08-19,-0.009451299110284351
2021-08-20,-0.00870299484487103
2021-08-24,-0.009879494243645905
2021-08-25,-0.010104310903303252
2021-08-26,-0.010288746208067322
2021-08-27,-0.013987803499460745
2021-08-31,-0.012484542965029934
2021-09-01,-0.01160567030279634
2021-09-02,-0.00926903558681402
2021-09-03,-0.009236392481101327
2021-09-07,-0.007125002424281397
2021-09-08,-0.007058368942155971
2021-09-09,-0.006719845561731149
2021-09-10,-0.006333305109104929
2021-09-14,-0.006694843722397959
2021-09-15,-0.007842892185359806
2021-09-16,-0.008036875177080675
2021-09-17,-0.008277834087730503
2021-09-21,-0.009031282583170012
2021-09-22,-0.008513597362882751
2021-09-23,-0.007981487347391573
2021-09-24,-0.007518237888928692
2021-09-28,-0.006913007318066104
2021-09-29,-0.0062621264608090175
2021-09-30,-0.0060894975641922824
2021-10-01,-0.005628288425704774
2021-10-05,-0.005854291361313467
2021-10-06,-0.0049340993578339196
2021-10-07,-0.004680896559736979
2021-10-08,-0.004614749182213468
2021-10-12,-0.004949619656254094
2021-10-13,-0.003868419786553592
2021-10-14,-0.0026307771225341794
2021-10-15,-0.0030976678970706527
2021-10-19,-0.003030466612075856
2021-10-20,-0.0033407897922644965
2021-10-21,-0.0030025267229173047
2021-10-22,-0.0026700546760101127
2021-10-26,-0.0023497498967666067
2021-10-27,-0.0021582884407372925
2021-10-28,-0.002220358900393921
2021-10-29,-0.001802204976639882
2021-11-02,-0.0017673403513745597
2021-11-03,-0.0017440969603374757
2021-11-04,-0.0018249910580503217
2021-11-05,-0.0013644154647785539
2021-11-09,-0.0013367732237898383
2021-11-10,-0.0014975305026108695
2021-11-11,-0.0013346459162966301
2021-11-12,-0.0013839948716808054
2021-11-16,-0.0008823873925704597
2021-11-17,-0.0008901309338131122
2021-11-18,-0.001205681818711099
2021-11-19,0.0006936458748085658
2021-11-23,0.001586763726884985
2021-11-24,0.0007564760538392123
2021-11-25,0.0010379261368625593
2021-11-26,0.002840599103719188
2021-11-30,0.003067689161063278
2021-12-01,0.0030678045701796296
2021-12-02,0.004727701927327757
2021-12-03,0.004410357796282004
2021-12-07,0.004355041719158904
2021-12-08,0.004648788383194236
2021-12-09,0.005718526230425708
2021-12-10,0.007468152683841066
2021-12-14,0.00749123894630719
2021-12-15,0.007840188226984068
2021-12-16,0.008544864983761296
2021-12-17,0.008512974228738814
2021-12-21,0.0076543776267765234
2021-12-22,0.007698977883035543
2021-12-23,0.007509635161731014
2021-12-24,0.007561336539574562
2021-12-28,0.007461727026547083
2021-12-29,0.007495076287949226
2021-12-30,0.007307072269772008
2021-12-31,0.007068088158157782
2022-01-04,0.007272803160336658
2022-01-05,0.0073218464939054356
2022-01-06,0.007241661146209149
2022-01-07,0.006234257174808028
2022-01-11,0.006496162862496958
2022-01-12,0.006079605528201127
2022-01-13,0.005957311041791945
2022-01-14,0.006559896524389386
2022-01-18,0.006309928588501229
2022-01-19,0.0051823855156644515
2022-01-20,0.005800640755142917
2022-01-21,0.006776002716104823
2022-01-25,0.006818094893187249
2022-01-26,0.006106667331891768
2022-01-27,0.006022041193345729
2022-01-28,0.0045320820537516245
2022-02-01,0.003478765048289059
2022-02-02,0.003356526800767887
2022-02-03,0.005005715665895391
2022-02-04,0.00504559602513869
2022-02-08,0.005036714417812695
2022-02-09,0.0048866201044338075
2022-02-10,0.005653300810304229
2022-02-11,0.005915184452797449
2022-02-15,0.006184259308358125
2022-02-16,0.006350264467957529
2022-02-17,0.0065260542531256835
2022-02-18,0.006441703121751372
2022-02-22,0.0064257937959210235
2022-02-23,0.006442355705244114
2022-02-24,0.00768970940204685
2022-02-25,0.006811006984686054
2022-03-01,0.0067492601323011665
2022-03-02,0.006406603735878286
2022-03-03,0.006888481341431975
2022-03-04,0.006648589452645734
2022-03-08,0.006881592235729336
2022-03-09,0.005362625869808526
2022-03-10,0.010008777617618274
2022-03-11,0.009979030440476468
2022-03-15,0.009456364968131063
2022-03-16,0.009879696865288874
2022-03-17,0.009885528691433268
2022-03-18,0.009253983326472976
2022-03-22,0.009657088111613876
2022-03-23,0.009648579817398636
2022-03-24,0.009528894475745132
2022-03-25,0.010282164272738295
2022-03-29,0.010497576082780851
2022-03-30,0.010587495989590788
2022-03-31,0.010779061518587197
2022-04-01,0.01117326297965794
2022-04-05,0.011025022378990381
2022-04-06,0.010727508414465918
2022-04-07,0.010962193807670745
2022-04-08,0.011325844582509233
2022-04-12,0.011417734955313456
2022-04-13,0.011353382193085093
2022-04-14,0.011369361542088847
2022-04-20,0.011817494074357
2022-04-21,0.011848103417117875
2022-04-22,0.011425080612790267
2022-04-26,0.010865247336856157
2022-04-27,0.010432499299422282
2022-04-28,0.010707061266495536
2022-04-29,0.01067049602834765
2022-05-03,0.010435541398266081
2022-05-04,0.010373262553967897
2022-05-05,0.01012176941478259
2022-05-06,0.011752467338700931
2022-05-10,0.011774877310311243
2022-05-11,0.010424366631665795
2022-05-12,0.011100336160243066
