date,portfolio_return_gross,portfolio_return_net_est,portfolio_nav_gross,portfolio_nav_net_est,switching_drag_nav,portfolio_ter_bps_annualized,switching_drag_daily,allocation_turnover_daily
2021-09-14,-0.00162878125004384,-0.00162878125004384,1.144801746012157,1.144801746012157,0.0,35.519539507248574,0.0,0.0
2021-09-15,-0.0005474912710487483,-0.0005474912710487483,1.1441749770491338,1.1441749770491338,0.0,35.519539507248574,0.0,0.0
2021-09-16,0.0009948503441058036,0.0009948503441058036,1.1453132599187683,1.1453132599187683,0.0,35.519539507248574,0.0,0.0
2021-09-17,-0.00246328017027444,-0.00246328017027444,1.1424920324768582,1.1424920324768582,0.0,35.519539507248574,0.0,0.0
2021-09-20,-0.010932927442029866,-0.010932927442029866,1.1300012499826915,1.1300012499826915,0.0,35.519539507248574,0.0,0.0
2021-09-21,0.005005426799768153,0.005005426799768153,1.1356573885231263,1.1356573885231263,0.0,35.519539507248574,0.0,0.0
2021-09-22,0.0053086671362380655,0.0053086671362380655,1.141686215579605,1.141686215579605,0.0,35.519539507248574,0.0,0.0
2021-09-23,0.005152590466294804,0.005152590466294804,1.1475688570895006,1.1475688570895006,0.0,35.519539507248574,0.0,0.0
2021-09-24,-0.0006366142842740782,-0.0006366142842740782,1.1468382983628893,1.1468382983628893,0.0,35.519539507248574,0.0,0.0
2021-09-27,0.0011328114617761287,0.0011328114617761287,1.1481374499320787,1.1481374499320787,0.0,35.519539507248574,0.0,0.0
2021-09-28,-0.013123734726152513,-0.013123734726152513,1.133069598610009,1.133069598610009,0.0,35.519539507248574,0.0,0.0
2021-09-29,0.004180927310254436,0.004180927310254436,1.1378068802392567,1.1378068802392567,0.0,35.519539507248574,0.0,0.0
2021-09-30,-0.002989703090631986,-0.002989703090631986,1.134405175492863,1.134405175492863,0.0,35.519539507248574,0.0,0.0
2021-10-01,-0.00214436325196044,-0.00214436325196044,1.1319725987217024,1.1319725987217024,0.0,35.519539507248574,0.0,0.0
2021-10-04,-0.0076878319854800925,-0.0076878319854800925,1.1232701835705627,1.1232701835705627,0.0,35.519539507248574,0.0,0.0
2021-10-05,0.009897712783338763,0.009897712783338763,1.1343879892256326,1.1343879892256326,0.0,35.519539507248574,0.0,0.0
2021-10-06,-0.005492517778821186,-0.005492517778821186,1.1281573430267295,1.1281573430267295,0.0,35.519539507248574,0.0,0.0
2021-10-07,0.015624437112200448,0.015624437112200448,1.145784166485518,1.145784166485518,0.0,35.519539507248574,0.0,0.0
2021-10-08,-0.002666646859586266,-0.002666646859586266,1.1427287647361957,1.1427287647361957,0.0,35.86828950724857,0.0,0.0
2021-10-11,0.0014721794355233575,0.0014721794355233575,1.1444110665240215,1.1444110665240215,0.0,35.86828950724857,0.0,0.0
2021-10-12,-0.004165655814671543,-0.004165655814671543,1.1396438439103813,1.1396438439103813,0.0,35.86828950724857,0.0,0.0
2021-10-13,-0.0008110178433365215,-0.0008110178433365215,1.1387195724179213,1.1387195724179213,0.0,35.86828950724857,0.0,0.0
2021-10-14,0.011970321160641683,0.011970321160641683,1.1523504114116725,1.1523504114116725,0.0,35.86828950724857,0.0,0.0
2021-10-15,0.005925147547754678,0.005925147547754678,1.1591782576260024,1.1591782576260024,0.0,35.86828950724857,0.0,0.0
2021-10-18,-6.864041510187824e-05,-6.864041510187824e-05,1.1590986911492218,1.1590986911492218,0.0,35.86828950724857,0.0,0.0
2021-10-19,0.0030276347519478082,0.0030276347519478082,1.1626080186274823,1.1626080186274823,0.0,35.86828950724857,0.0,0.0
2021-10-20,0.002222141816145477,0.002222141816145477,1.1651914985214604,1.1651914985214604,0.0,35.86828950724857,0.0,0.0
2021-10-21,-0.002401259129232122,-0.002401259129232122,1.162393571798332,1.162393571798332,0.0,35.86828950724857,0.0,0.0
2021-10-22,8.238225248208557e-05,8.238225248208557e-05,1.1624893323990475,1.1624893323990475,0.0,35.86828950724857,0.0,0.0
2021-10-25,0.004301273091530389,0.004301273091530389,1.1674895164836867,1.1674895164836867,0.0,35.86828950724857,0.0,0.0
2021-10-26,0.0043290931644136,0.0043290931644136,1.1725436873690207,1.1725436873690207,0.0,35.86828950724857,0.0,0.0
2021-10-27,-0.0037211831431380057,-0.0037211831431380057,1.1681804375649902,1.1681804375649902,0.0,35.86828950724857,0.0,0.0
2021-10-28,-0.0018420245642560298,-0.0018420245642560298,1.1660286205035122,1.1660286205035122,0.0,35.86828950724857,0.0,0.0
2021-10-29,0.004757306222239249,0.004757306222239249,1.1715757757151426,1.1715757757151426,0.0,35.86828950724857,0.0,0.0
