,date,quarter_date,regime,bloc,Strat,ticker,weight_ticker
35,2021-02-08,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
36,2021-02-09,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
37,2021-02-09,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
38,2021-02-09,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
39,2021-02-09,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
40,2021-02-09,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
41,2021-02-09,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
42,2021-02-10,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
43,2021-02-10,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
44,2021-02-10,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
45,2021-02-10,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
46,2021-02-10,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
47,2021-02-10,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
48,2021-02-11,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
49,2021-02-11,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
50,2021-02-11,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
51,2021-02-11,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
52,2021-02-11,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
53,2021-02-11,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
54,2021-02-12,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
55,2021-02-12,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
56,2021-02-12,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
57,2021-02-12,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
58,2021-02-12,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
59,2021-02-12,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
60,2021-02-15,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
61,2021-02-15,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
62,2021-02-15,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
63,2021-02-15,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
64,2021-02-15,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
65,2021-02-15,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
66,2021-02-16,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
67,2021-02-16,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
68,2021-02-16,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
69,2021-02-16,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
70,2021-02-16,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
71,2021-02-16,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
72,2021-02-17,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
73,2021-02-17,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
74,2021-02-17,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
75,2021-02-17,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
76,2021-02-17,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
77,2021-02-17,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
78,2021-02-18,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
79,2021-02-18,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
80,2021-02-18,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
81,2021-02-18,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
82,2021-02-18,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
83,2021-02-18,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
84,2021-02-19,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
85,2021-02-19,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
86,2021-02-19,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
87,2021-02-19,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
88,2021-02-19,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
89,2021-02-19,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
90,2021-02-22,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
91,2021-02-22,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
92,2021-02-22,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
93,2021-02-22,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
94,2021-02-22,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
95,2021-02-22,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
96,2021-02-23,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
97,2021-02-23,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
98,2021-02-23,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
99,2021-02-23,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
100,2021-02-23,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
101,2021-02-23,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
102,2021-02-24,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
103,2021-02-24,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
104,2021-02-24,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
105,2021-02-24,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
106,2021-02-24,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
107,2021-02-24,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
108,2021-02-25,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
109,2021-02-25,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
110,2021-02-25,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
111,2021-02-25,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
112,2021-02-25,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
113,2021-02-25,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
114,2021-02-26,2021-02-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
115,2021-02-26,2021-02-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
116,2021-02-26,2021-02-01,risk_on,bloc2,STRAT2,LDAPB2E ID Equity,0.175
117,2021-02-26,2021-02-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.175
118,2021-02-26,2021-02-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
119,2021-02-26,2021-02-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
120,2021-03-01,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
121,2021-03-01,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
122,2021-03-01,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
123,2021-03-01,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
124,2021-03-01,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
125,2021-03-02,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
126,2021-03-02,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
127,2021-03-02,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
128,2021-03-02,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
129,2021-03-02,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
130,2021-03-03,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
131,2021-03-03,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
132,2021-03-03,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
133,2021-03-03,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
134,2021-03-03,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
135,2021-03-04,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
136,2021-03-04,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
137,2021-03-04,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
138,2021-03-04,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
139,2021-03-04,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
140,2021-03-05,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
141,2021-03-05,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
142,2021-03-05,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
143,2021-03-05,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
144,2021-03-05,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
145,2021-03-08,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
146,2021-03-08,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
147,2021-03-08,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
148,2021-03-08,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
149,2021-03-08,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
150,2021-03-09,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
151,2021-03-09,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
152,2021-03-09,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
153,2021-03-09,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
154,2021-03-09,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
155,2021-03-10,2021-03-01,risk_on,bloc1,STRAT1,LYEGTIE ID Equity,0.05
156,2021-03-10,2021-03-01,risk_on,bloc1,STRAT1,UIATHNA GR Equity,0.05
157,2021-03-10,2021-03-01,risk_on,bloc2,STRAT2,PROSSPE LX Equity,0.35
158,2021-03-10,2021-03-01,risk_on,bloc3,STRAT3,00XL GR Equity,0.275
159,2021-03-10,2021-03-01,risk_on,bloc3,STRAT3,NUMCAII ID Equity,0.275
160,2021-03-11,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
161,2021-03-11,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
162,2021-03-11,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
163,2021-03-11,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
164,2021-03-11,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
165,2021-03-12,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
166,2021-03-12,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
167,2021-03-12,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
168,2021-03-12,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
169,2021-03-12,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
170,2021-03-15,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
171,2021-03-15,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
172,2021-03-15,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
173,2021-03-15,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
174,2021-03-15,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
175,2021-03-16,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
176,2021-03-16,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
177,2021-03-16,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
178,2021-03-16,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
179,2021-03-16,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
180,2021-03-17,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
181,2021-03-17,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
182,2021-03-17,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
183,2021-03-17,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
184,2021-03-17,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
185,2021-03-18,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
186,2021-03-18,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
187,2021-03-18,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
188,2021-03-18,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
189,2021-03-18,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
190,2021-03-19,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
191,2021-03-19,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
192,2021-03-19,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
193,2021-03-19,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
194,2021-03-19,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
195,2021-03-22,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
196,2021-03-22,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
197,2021-03-22,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
198,2021-03-22,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
199,2021-03-22,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
200,2021-03-23,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
201,2021-03-23,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
202,2021-03-23,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
203,2021-03-23,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
204,2021-03-23,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
205,2021-03-24,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
206,2021-03-24,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
207,2021-03-24,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
208,2021-03-24,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
209,2021-03-24,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
210,2021-03-25,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
211,2021-03-25,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
212,2021-03-25,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
213,2021-03-25,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
214,2021-03-25,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
215,2021-03-26,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
216,2021-03-26,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
217,2021-03-26,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
218,2021-03-26,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
219,2021-03-26,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
220,2021-03-29,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
221,2021-03-29,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
222,2021-03-29,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
223,2021-03-29,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
224,2021-03-29,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
225,2021-03-30,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
226,2021-03-30,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
227,2021-03-30,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
228,2021-03-30,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
229,2021-03-30,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
230,2021-03-31,2021-03-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
231,2021-03-31,2021-03-01,normal,bloc1,STRAT1,UIATHNA GR Equity,0.125
232,2021-03-31,2021-03-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.4
233,2021-03-31,2021-03-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
234,2021-03-31,2021-03-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
235,2021-04-01,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
236,2021-04-01,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
237,2021-04-01,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
238,2021-04-01,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
239,2021-04-01,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
240,2021-04-01,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
241,2021-04-02,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
242,2021-04-02,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
243,2021-04-02,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
244,2021-04-02,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
245,2021-04-02,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
246,2021-04-02,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
247,2021-04-05,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
248,2021-04-05,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
249,2021-04-05,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
250,2021-04-05,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
251,2021-04-05,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
252,2021-04-05,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
253,2021-04-06,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
254,2021-04-06,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
255,2021-04-06,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
256,2021-04-06,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
257,2021-04-06,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
258,2021-04-06,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
259,2021-04-07,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
260,2021-04-07,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
261,2021-04-07,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
262,2021-04-07,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
263,2021-04-07,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
264,2021-04-07,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
265,2021-04-08,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
266,2021-04-08,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
267,2021-04-08,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
268,2021-04-08,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
269,2021-04-08,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
270,2021-04-08,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
271,2021-04-09,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
272,2021-04-09,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
273,2021-04-09,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
274,2021-04-09,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
275,2021-04-09,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
276,2021-04-09,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
277,2021-04-12,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
278,2021-04-12,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
279,2021-04-12,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
280,2021-04-12,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
281,2021-04-12,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
282,2021-04-12,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
283,2021-04-13,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
284,2021-04-13,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
285,2021-04-13,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
286,2021-04-13,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
287,2021-04-13,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
288,2021-04-13,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
289,2021-04-14,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
290,2021-04-14,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
291,2021-04-14,2021-04-01,normal,bloc2,STRAT2,LDAPB2E ID Equity,0.2
292,2021-04-14,2021-04-01,normal,bloc2,STRAT2,PROSSPE LX Equity,0.2
293,2021-04-14,2021-04-01,normal,bloc3,STRAT3,00XL GR Equity,0.175
294,2021-04-14,2021-04-01,normal,bloc3,STRAT3,NUMCAII ID Equity,0.175
295,2021-04-15,2021-04-01,normal,bloc1,STRAT1,LYEGTIE ID Equity,0.125
296,2021-04-15,2021-04-01,normal,bloc1,STRAT1,SCGBCAE LX Equity,0.125
