date,RegimeScore,regime,q_low_roll,q_high_roll,vol_63,corr_eq_bond_63,mom_63
2021-04-12 00:00:00,-0.14904672596853336,Neutre,-1.638267342966669,0.04964057363497091,0.10118945670907843,0.11544748818574065,0.059479175283296604
2021-04-13 00:00:00,-0.11410074759636746,Neutre,-1.6310439480871717,0.04491584128546873,0.10107554719432058,0.11646622695449034,0.05766287599979414
2021-04-14 00:00:00,-0.09706541228808069,Neutre,-1.6251985422103632,0.03849415159921571,0.10059960771311016,0.11626427333782195,0.06192378735395021
2021-04-15 00:00:00,-0.16190454231701096,Neutre,-1.6193531363335547,0.0320724619129633,0.10076050958022939,0.12165967619624414,0.06749845440636815
2021-04-16 00:00:00,-0.2038989840490566,Neutre,-1.6150816635333443,0.02771140752354249,0.10069511341900633,0.12215671283389949,0.07047618872137451
2021-04-19 00:00:00,-0.2437274730834742,Neutre,-1.6139580568863308,0.02747162372778494,0.09993633271564875,0.13199161715378852,0.053912528185290354
2021-04-20 00:00:00,-0.011485657217989609,Neutre,-1.6128344502393173,0.027231839932027366,0.1023204745045347,0.10364594565857597,0.04404528158038867
2021-04-21 00:00:00,-0.030145481487890424,Neutre,-1.6117108435923038,0.02699205613626906,0.10224201904609002,0.11040854236078448,0.05664442330107611
2021-04-22 00:00:00,-0.15005216980527053,Neutre,-1.6067424053870891,0.01902290776569116,0.10264312099818718,0.1188875408121895,0.06172046732635006
2021-04-23 00:00:00,-0.1671268153118558,Neutre,-1.6017739671818747,0.011053759395112502,0.10280712586827241,0.12002480744546913,0.055996391606873086
2021-04-26 00:00:00,-0.0995358893374193,Neutre,-1.59680552897666,0.0030846110245345993,0.10060783437642254,0.13085928417170994,0.0681171573377084
2021-04-27 00:00:00,-0.21580043749840205,Neutre,-1.5950646472265564,0.0002942003783187538,0.10073026408114333,0.13115647695823313,0.06502653418485305
2021-04-28 00:00:00,-0.18458297580284838,Neutre,-1.5949375437040088,9.31585942839462e-05,0.0946756397742209,0.1252426958151607,0.08170160990914432
2021-04-29 00:00:00,-0.4876059623342366,Neutre,-1.594810440181461,-0.0001078831897508424,0.09334893554120428,0.1349738833592636,0.06903678459495488
2021-04-30 00:00:00,-0.30840540806629035,Neutre,-1.5945251716675581,-0.0013662856629958475,0.08816068813635698,0.17872182429274674,0.05375136135628433
2021-05-03 00:00:00,0.04064528376432025,Neutre,-1.5939235731709456,0.00016017252229556144,0.08821658688690866,0.18107875603778079,0.05594656445875068
2021-05-04 00:00:00,0.017944334745018053,Neutre,-1.5933219746743332,0.005683060187544493,0.08942482927303062,0.14128129039052595,0.03942394532436522
2021-05-05 00:00:00,0.0017233636283597864,Neutre,-1.5927203761777207,0.0017233636283597495,0.09149549227323653,0.12805498263692108,0.047534965443633004
2021-05-06 00:00:00,-0.15065006312428075,Neutre,-1.587904571938718,0.0013348230101544252,0.0920043013663563,0.12662607387529698,0.039679845079739096
2021-05-07 00:00:00,-0.06766992415444781,Neutre,-1.583088767699715,0.0009462823919490642,0.09237822239625156,0.11816285763027921,0.04494235935799917
2021-05-10 00:00:00,-0.17833459086063366,Neutre,-1.5782729634607122,0.0005577417737437399,0.09216892211595824,0.11434138939121267,0.046825647057181286
2021-05-11 00:00:00,-0.22829150016305227,Neutre,-1.5744474668334936,0.0002942003783187538,0.09756543792505513,0.1663492517443207,0.02653866207115918
2021-05-12 00:00:00,0.3471978161164368,Neutre,-1.5711171240121673,0.001075795931350839,0.09786584608552876,0.18040173981832883,0.020872413806076517
2021-05-13 00:00:00,0.4859811585068498,Neutre,-1.5677867811908412,0.004967557851691255,0.09722641197208841,0.20295172099120598,0.016159153595671105
2021-05-14 00:00:00,0.6493239463448539,Neutre,-1.5648819822819136,0.01632223763335186,0.09792342347637008,0.20022513519629756,0.025239318889996865
2021-05-17 00:00:00,0.5301991007560818,Neutre,-1.5628282711977823,0.023372967579768804,0.0978790849908441,0.20851374259343264,0.025515198524222793
2021-05-18 00:00:00,0.5656638830543467,Neutre,-1.5607745601136511,0.02723183993202739,0.09737275045426172,0.1955438109734678,0.03031368844971727
2021-05-19 00:00:00,0.4280459634484546,Neutre,-1.5587208490295201,0.027791335455461696,0.10017185709301797,0.18582089251784287,0.015882806632481872
2021-05-20 00:00:00,0.5725020369909227,Stress,-1.5542663885298376,0.03678909927166254,0.10215330166613949,0.2464287629696216,0.034874125227874586
2021-05-21 00:00:00,0.6884139003857441,Stress,-1.549811928030155,0.04406595735578033,0.10125695374999896,0.23655456752998585,0.04638862969666424
