,alpha_daily
2021-04-09,-0.00043684669634274406
2021-04-12,6.8945073226803766e-06
2021-04-13,-0.00472176193173926
2021-04-14,-0.001667548593539141
2021-04-15,-0.002519659921459255
2021-04-16,0.0012725806356491845
2021-04-19,4.38955660642573e-05
2021-04-20,-0.008552329337308881
2021-04-21,0.005258801996419383
2021-04-22,-0.0017076314149944388
2021-04-23,0.008359108193272683
2021-04-26,-9.726306753035077e-06
2021-04-27,0.0019997747784320074
2021-04-28,0.0034554877407244203
2021-04-29,0.001911395524127505
2021-04-30,-0.007244694564550137
2021-05-03,-1.782864339117857e-05
2021-05-04,-0.0031590766362916607
2021-05-05,0.0020698865903541327
2021-05-06,-0.007471246432855145
2021-05-07,0.00705132262704099
2021-05-10,4.450665591415352e-06
2021-05-11,0.000855259035680755
2021-05-12,-0.00763663170707784
2021-05-13,-0.0030831374611919116
2021-05-14,0.001126621551375236
2021-05-17,2.448380425290686e-05
2021-05-18,0.0030366328293602463
2021-05-19,-0.002014631349383321
2021-05-20,0.006254323865502468
2021-05-21,-0.000660259606711104
2021-05-24,0.0
2021-05-25,-0.0006078441847301539
2021-05-26,0.0019772453883688205
2021-05-27,0.005271331736254467
2021-05-28,0.0008014875652952453
2021-05-31,2.8510295842118584e-05
2021-06-01,-1.6397400156933253e-05
2021-06-02,-0.0010859661462367658
2021-06-03,-0.0008141945781005492
2021-06-04,-0.0008329165671435494
2021-06-07,1.0211490952524245e-05
2021-06-08,0.001310500390346252
2021-06-09,-0.0042023745614771235
2021-06-10,-0.0015526889237307852
2021-06-11,0.00044977622843633776
2021-06-14,1.8983004827461975e-05
2021-06-15,-0.001266859876898446
2021-06-16,0.001136951631151463
2021-06-17,-0.0059837634555091656
2021-06-18,-0.009319374630256626
2021-06-21,-4.064770551444479e-06
2021-06-22,0.0016130517015532063
2021-06-23,0.001053282215442832
2021-06-24,0.0006909369320257785
2021-06-25,0.002724257343776103
2021-06-28,-1.2893843926483937e-05
2021-06-29,0.00279929748683484
2021-06-30,-0.0024584995407853087
2021-07-01,0.0017175360728494066
2021-07-02,-0.0006453843172754352
2021-07-05,-2.4331933220849167e-06
2021-07-06,-0.0002250973614233655
2021-07-07,-0.002513496625929575
2021-07-08,-0.006633778448408988
2021-07-09,0.007809605244513963
2021-07-12,-2.2401872602951777e-05
2021-07-13,0.0011605154543216935
2021-07-14,-0.0008305360570884736
2021-07-15,-0.0007663083271589096
2021-07-16,-0.0016641818218521513
2021-07-19,7.134692215419037e-05
2021-07-20,0.0014914557198172562
2021-07-21,0.005507960624518261
2021-07-22,0.0027307904484042806
2021-07-23,0.002243852588085171
2021-07-26,9.85656717763466e-06
2021-07-27,-0.0022270763825668802
2021-07-28,0.002176059188240259
2021-07-29,0.0007517985178071931
2021-07-30,0.00027691346078169784
2021-08-02,-2.725346086996703e-05
2021-08-03,4.173181497900178e-06
2021-08-04,-0.0004081151494946362
2021-08-05,0.0031235981361162745
2021-08-06,-0.0004935805365520916
2021-08-09,-7.2612306805179305e-06
2021-08-10,0.00016851424228548603
2021-08-11,-0.0009802018971291106
2021-08-12,-0.00016976015081196093
2021-08-13,-0.0009998978125258053
2021-08-16,1.5292349159363428e-05
2021-08-17,-0.0011791443956580745
2021-08-18,0.001398176981624813
2021-08-19,-0.0011174172608434218
2021-08-20,-0.0003722739917714627
2021-08-23,-1.9645075154528013e-05
2021-08-24,0.0005807180866056823
2021-08-25,-0.00038003918963573353
2021-08-26,-0.0003925410502421449
2021-08-27,0.0007627916552719426
2021-08-30,-2.7846410575444723e-05
2021-08-31,-0.0009093015406225693
2021-09-01,0.0019940838036910428
2021-09-02,0.0031435727008504387
2021-09-03,0.0022379467568331385
2021-09-06,-2.933047913968724e-05
2021-09-07,-0.0014733193030121807
2021-09-08,-0.0018903957898298927
2021-09-09,0.0024352129243852445
2021-09-10,-0.0012314001328266014
2021-09-13,3.136990202141417e-06
2021-09-14,-0.003301890515136782
2021-09-15,0.0005350329921471683
2021-09-16,-0.00041114571385443706
2021-09-17,-0.0017539730387448492
2021-09-20,6.557964360001474e-05
2021-09-21,0.0011722883366467442
2021-09-22,0.0035571651356120317
2021-09-23,0.004677692576830169
2021-09-24,-1.5923536575484924e-05
2021-09-27,-7.6034369087258915e-06
2021-09-28,-0.00551654139145506
2021-09-29,0.0012845386190385552
2021-09-30,0.0011615414240735001
2021-10-01,-0.00012076747437521071
2021-10-04,5.398131643985387e-05
2021-10-05,0.0021680697883461456
2021-10-06,-0.0018841929116902366
2021-10-07,0.0023606980237893945
2021-10-08,0.0011059766574088759
2021-10-11,2.216994257435023e-06
2021-10-12,0.0009000062072508004
2021-10-13,-0.0029276054916511983
2021-10-14,0.00368282176976697
2021-10-15,0.0021331062409048872
2021-10-18,1.1230037046437333e-05
2021-10-19,0.0008747665566409315
2021-10-20,-0.000695073054805211
2021-10-21,-0.0017956792744831826
2021-10-22,-0.005416926422055433
2021-10-25,-4.039105713780535e-05
2021-10-26,-3.076196451984261e-05
2021-10-27,-0.005228345510849874
2021-10-28,6.369102267672357e-06
2021-10-29,0.0016367041537630165
2021-11-01,-4.405732111456931e-06
2021-11-02,-0.0005404921092578038
2021-11-03,0.002702751111465122
2021-11-04,-0.008366317414050055
2021-11-05,-0.0013326306994662738
2021-11-08,2.685444076281831e-05
2021-11-09,-0.003448511002102207
2021-11-10,0.0023229424343535685
2021-11-11,0.0006783272967076174
2021-11-12,0.00037969287104350755
2021-11-15,-4.6615702882720934e-06
2021-11-16,0.002258857907308961
2021-11-17,-0.00230088914240497
2021-11-18,-0.002365384639898366
2021-11-19,0.0005052463134851329
2021-11-22,6.594526281550569e-06
2021-11-23,-0.0008367981861214628
2021-11-24,0.003111317996699529
2021-11-25,7.108557811520678e-06
2021-11-26,0.0006427048117603456
2021-11-29,-5.369537092073327e-05
2021-11-30,-0.004711516810205842
2021-12-01,-0.002314532689419427
2021-12-02,0.0010778086905121526
2021-12-03,-0.0027800493875777114
2021-12-06,-5.769307336226924e-05
2021-12-07,-0.00010284477189038822
2021-12-08,-0.0019202832819434745
2021-12-09,-0.0010719506174228205
2021-12-10,-0.0008306705614712134
2021-12-13,-1.0187004106503854e-05
2021-12-14,0.0025756422845773556
2021-12-15,0.002717934871219092
2021-12-16,-0.002515867352203312
2021-12-17,0.003139891614388824
2021-12-20,0.00010371304071704826
2021-12-21,0.004263683494908523
2021-12-22,-0.0010000053082554325
2021-12-23,0.002162290104103431
2021-12-24,-6.635700066355276e-05
2021-12-27,-2.5437515510703224e-05
2021-12-28,-2.432528837091478e-05
2021-12-29,4.358768820662238e-05
2021-12-30,-1.6039622103210444e-05
2021-12-31,-0.005281959292848082
2022-01-03,3.873322016327716e-05
2022-01-04,-2.4748176177357118e-05
2022-01-05,-0.0011645627765933806
2022-01-06,-0.0009563720291518513
2022-01-07,-0.0008457471421686605
2022-01-10,6.331286137036092e-05
2022-01-11,-1.9362862335780814e-05
2022-01-12,-0.0019269587667113132
2022-01-13,-0.003064757349919506
2022-01-14,-0.00024221632640262803
2022-01-17,-2.0789098090408663e-05
2022-01-18,-0.0024496791703467378
2022-01-19,-0.003825474405422966
2022-01-20,-0.001462285046346475
2022-01-21,-0.006329468156674251
2022-01-24,0.00017317829811540195
2022-01-25,-0.00019484188707100765
2022-01-26,0.005203387314296915
2022-01-27,0.005732869726490397
2022-01-28,0.003917683357139754
2022-01-31,-5.191061679513793e-05
2022-02-01,0.0013253875411760986
