quarter_date,Strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date
2023-04-03,STRAT3,AEABSIA ID Equity,2,1.2528930989186289,top2_diversified,0.20697973347397963,0.17324719503122998,2023-01-02
2023-07-03,STRAT1,ALLVOSI LX Equity,1,0.10000000000000012,top1,,0.0,2023-01-02
2023-07-03,STRAT1,UIATHNA GR Equity,2,-0.09999999999999998,top2_diversified,-0.036604681540400585,0.2000000000000001,2023-01-02
2023-07-03,STRAT2,UGEEIBA ID Equity,1,1.38633976627174,top1,,0.0,2023-01-02
2023-07-03,STRAT2,DMIURIE LX Equity,2,1.2434613438767042,top2_diversified,0.18374178451988069,0.1428784223950359,2023-01-02
2023-07-03,STRAT3,DISFCPE LX Equity,1,0.7060391261982635,top1,,0.0,2023-01-02
2023-07-03,STRAT3,BNPAOPP LX Equity,2,0.6570270846060755,top2_diversified,0.22512054747955074,0.04901204159218797,2023-01-02
2023-10-02,STRAT1,ALLVOSI LX Equity,1,0.10000000000000012,top1,,0.0,2023-01-02
2023-10-02,STRAT1,UIATHNA GR Equity,2,-0.10000000000000012,top2_diversified,-0.058442049023007515,0.20000000000000023,2023-01-02
2023-10-02,STRAT2,UGEEIBA ID Equity,1,1.1444688033205037,top1,,0.0,2023-01-02
2023-10-02,STRAT2,DMIURIE LX Equity,2,1.025453794819024,top2_diversified,0.1728734209233009,0.11901500850147961,2023-01-02
2023-10-02,STRAT3,DISFCPE LX Equity,1,1.0323915764360576,top1,,0.0,2023-01-02
2024-01-01,STRAT1,ALLVOSI LX Equity,1,0.9955460460339176,top1,,0.0,2024-01-01
2024-01-01,STRAT2,SCHCTEA LX Equity,1,1.866873120572371,top1,,0.0,2024-01-01
2024-01-01,STRAT3,DISFCPE LX Equity,1,1.8834788807736453,top1,,0.0,2024-01-01
2024-04-01,STRAT1,ALLVOSI LX Equity,1,0.9366294945250702,top1,,0.0,2024-01-01
2024-04-01,STRAT2,CARPPFE LX Equity,1,1.3595882271921007,top1,,0.0,2024-01-01
2024-04-01,STRAT2,SCHCTEA LX Equity,2,1.1601738454497232,top2_diversified,0.3340019770473798,0.19941438174237747,2024-01-01
2024-04-01,STRAT3,DISFCPE LX Equity,1,1.6761392921182872,top1,,0.0,2024-01-01
2024-07-01,STRAT1,ALLVOSI LX Equity,1,0.9624149072202868,top1,,0.0,2024-01-01
2024-07-01,STRAT2,CARPPFE LX Equity,1,1.744329199098026,top1,,0.0,2024-01-01
2024-07-01,STRAT2,SCHCTEA LX Equity,2,1.6750278482629968,top2_diversified,0.4323983395359712,0.06930135083502931,2024-01-01
2024-07-01,STRAT3,DISFCPE LX Equity,1,1.7094807126600784,top1,,0.0,2024-01-01
2024-10-01,STRAT1,ALLVOSI LX Equity,1,0.9833337239663908,top1,,0.0,2024-01-01
2024-10-01,STRAT2,SCHCTEA LX Equity,1,1.7056756360204886,top1,,0.0,2024-01-01
2024-10-01,STRAT3,DISFCPE LX Equity,1,1.6731090967394333,top1,,0.0,2024-01-01
2025-01-01,STRAT1,UIATHNA GR Equity,1,0.2999999999999988,top1,,0.0,2025-01-01
2025-01-01,STRAT2,REYLSEB LX Equity,1,1.4567259766892784,top1,,0.0,2025-01-01
2025-01-01,STRAT3,NUMCAII ID Equity,1,1.3036257599089802,top1,,0.0,2025-01-01
2025-01-01,STRAT3,DISFCPE LX Equity,2,1.1681929270588451,top2_diversified,-0.18306928566191266,0.13543283285013508,2025-01-01
2025-04-01,STRAT1,UIATHNA GR Equity,1,0.29999999999999893,top1,,0.0,2025-01-01
2025-04-01,STRAT2,REYLSEB LX Equity,1,1.0490665030681414,top1,,0.0,2025-01-01
2025-04-01,STRAT3,NUMCAII ID Equity,1,1.5754447551564124,top1,,0.0,2025-01-01
2025-07-01,STRAT1,UIATHNA GR Equity,1,0.2999999999999988,top1,,0.0,2025-01-01
2025-07-01,STRAT2,REYLSEB LX Equity,1,1.1082580182545652,top1,,0.0,2025-01-01
2025-07-01,STRAT3,NUMCAII ID Equity,1,1.9533341633611152,top1,,0.0,2025-01-01
2025-10-01,STRAT1,UIATHNA GR Equity,1,0.29999999999999893,top1,,0.0,2025-01-01
2025-10-01,STRAT2,REYLSEB LX Equity,1,0.9873921188671483,top1,,0.0,2025-01-01
2025-10-01,STRAT2,PDAIEUR LX Equity,2,0.9447152363789864,top2_diversified,0.15106106348018797,0.04267688248816193,2025-01-01
2025-10-01,STRAT3,DISFCPE LX Equity,1,1.76847342776456,top1,,0.0,2025-01-01
