Date,w_core_effectif,w_sat_effectif,scale
2020-06-30,0.7367573647305855,0.3157531563131081,1.0525105210436936
2020-07-31,0.756952260420345,0.3244081116087193,1.0813603720290643
2020-08-31,0.7628165337675296,0.32692137161465556,1.0897379053821852
2020-09-30,0.7457432687300155,0.3196042580271495,1.065347526757165
2020-10-31,0.7633398408583244,0.32714564608213903,1.0904854869404634
2020-11-30,0.7495376451446165,0.3212304193476928,1.0707680644923094
2020-12-31,0.6314325088366043,0.2706139323585447,0.9020464411951491
2021-01-31,0.6192021769882177,0.265372361566379,0.8845745385545967
2021-02-28,0.6180828959638307,0.2648926696987846,0.8829755656626154
2021-03-31,0.6613813409920103,0.283449146139433,0.9448304871314434
2021-04-30,0.957294472390849,0.4102690595960782,1.3675635319869273
2021-05-31,0.9695797136518879,0.41553416299366625,1.3851138766455542
2021-06-30,0.9745133686434744,0.41764858656148907,1.3921619552049636
2021-07-31,0.9616702274672543,0.4121443832002519,1.3738146106675062
2021-08-31,0.9824203546560342,0.4210372948525861,1.4034576495086204
2021-09-30,0.980595576507121,0.4202552470744804,1.4008508235816015
2021-10-31,0.9823603532828996,0.42101157997838556,1.4033719332612853
2021-11-30,1.1835356608330583,0.5072295689284535,1.690765229761512
2021-12-31,1.3562889818715878,0.5812667065163948,1.9375556883879828
2022-01-31,1.2033351375373988,0.5157150589445995,1.7190501964819984
2022-02-28,1.2080367648807941,0.5177300420917689,1.7257668069725631
2022-03-31,1.1392348021454228,0.48824348663375267,1.6274782887791757
2022-04-30,1.3669996149787238,0.5858569778480245,1.9528565928267485
2022-05-31,1.3342855489457013,0.571836663833872,1.9061222127795734
2022-06-30,1.3380057185621013,0.5734310222409006,1.911436740803002
2022-07-31,1.0033054994897728,0.4299880712099026,1.4332935706996754
2022-08-31,0.9398769127081229,0.4028043911606241,1.342681303868747
2022-09-30,0.8916861727256122,0.3821512168824052,1.2738373896080175
2022-10-31,0.8574881252690513,0.3674949108295934,1.2249830360986447
2022-11-30,0.7886767197088779,0.33800430844666196,1.12668102815554
2022-12-31,0.7948010416114092,0.34062901783346106,1.1354300594448703
2023-01-31,0.8374791998535754,0.35891965708010376,1.1963988569336792
2023-02-28,0.8136133203029328,0.3486914229869712,1.162304743289904
2023-03-31,0.8151045937854217,0.34933054019375215,1.1644351339791739
2023-04-30,0.7939240377919733,0.34025315905370285,1.1341771968456762
2023-05-31,0.794376701194872,0.34044715765494515,1.1348238588498172
2023-06-30,0.7839299843118835,0.3359699932765215,1.119899977588405
2023-07-31,0.9033662633266317,0.3871569699971279,1.2905232333237597
2023-08-31,0.9456619463450038,0.40528369129071595,1.3509456376357198
2023-09-30,1.0221204837802,0.4380516359058,1.460172119686
2023-10-31,1.156416347239597,0.4956070059598273,1.6520233531994244
2023-11-30,1.2296468272611687,0.5269914973976437,1.7566383246588124
2023-12-31,1.2259184505147036,0.5253936216491587,1.7513120721638624
2024-01-31,1.316663594223897,0.5642843975245272,1.8809479917484242
2024-02-29,1.3652501399478156,0.5851072028347781,1.9503573427825938
2024-03-31,1.3489862871386957,0.5781369802022982,1.9271232673409942
2024-04-30,1.360086504915925,0.5828942163925394,1.9429807213084644
2024-05-31,1.3331604022607277,0.5713544581117405,1.9045148603724682
2024-06-30,1.4,0.6,2.0
2024-07-31,1.35823292012996,0.58209982291284,1.9403327430428001
2024-08-31,1.3219515359855827,0.5665506582795354,1.8885021942651183
2024-09-30,1.327112147354638,0.5687623488662734,1.8958744962209113
2024-10-31,1.313170261871063,0.5627872550875984,1.8759575169586615
2024-11-30,1.2746617793535482,0.5462836197229493,1.8209453990764977
2024-12-31,1.353799117557966,0.5801996218105568,1.933998739368523
2025-01-31,1.3633095018187673,0.5842755007794717,1.947585002598239
2025-02-28,1.2549102604860203,0.5378186830654373,1.7927289435514577
2025-03-31,1.221910105386233,0.5236757594512427,1.7455858648374758
2025-04-30,1.341855517040283,0.575080935874407,1.9169364529146902
2025-05-31,1.296183275458287,0.5555071180535516,1.8516903935118385
2025-06-30,1.2411802909022007,0.5319344103866575,1.7731147012888582
2025-07-31,1.2804578493573604,0.548767649724583,1.8292254990819434
2025-08-31,1.2993495443262455,0.5568640904255339,1.8562136347517795
2025-09-30,1.300530093605623,0.5573700401166956,1.8579001337223187
2025-10-31,1.2744937882047493,0.5462116235163211,1.8207054117210706
2025-11-30,1.4,0.6,2.0
2025-12-31,1.4,0.6,2.0
2026-01-31,1.4,0.6,2.0
2026-02-28,1.4,0.6,2.0
2026-03-31,1.4,0.6,2.0
